,题干,A,B,C,D,答案
253,近代中国民主革命的主力军是(   ),工人阶级,知识分子,农民阶级,民族资产阶级,C
254,近代中国带有两面性的阶级是(   ),大资产阶级,小资产阶级,民族资产阶级,地主阶级,C
255,秋收起义后毛泽东创建的第一个农村革命根据地是(   ),井冈山根据地,左右江根据地,闽西根据地,中央根据地,A
256,不属于新民主主义革命时期的统一战线的是(   ),工农民主统一战线, 抗日民族统一战线,人民民主统一战线,新时期爱国统一战线,D
257,新民主主义革命区别于旧民主主义革命的根本标志是(   ),革命的动力,革命的目标, 革命的对象,革命的领导权,D
258,毛泽东提出“须知政权是由枪杆子中取得的”的著名论断是在(   ),八七会议,古田会议,遵义会议,瓦窑堡会议,A
259,中国共产党领导的新民主主义革命的根本目的是(   ),解放被束缚的生产力,建立新民主主义的人民共和国,改变中国半殖民地半封建社会的面貌,推翻帝国主义、封建主义和官僚资本主义的统治 ,A
260,新民主主义革命的前途是(   ),共产主义,社会主义,新民主主义,资本主义,B
261,新民主主义革命的主要内容是(   ),武装斗争,没收封建地主阶级的土地归农民所有,建设农村根据地,政权建设,B
262,中国革命的首要对象(   ),大资产阶级,民族资产阶级,封建势力,帝国主义,D
263,中国共产党在领导人民革命的过程中，积累了丰富的经验，武装斗争就是战胜敌人的重要法宝之一，其实质是（   ）,无产阶级的反帝国主义战争,资产阶级领导的反封建战争,工农联合的反军阀战争,工人阶级领导的农民战争,D
264,中国革命的中心问题是（   ）,无产阶级的领导权,团结革命动力,认清革命对象,明确革命目标,   A
265,新民主主义革命的首要问题是（）,分清敌友,团结农民阶级,坚持中国共产党的领导,正确分析民族资产阶级的两面性,A
266,开辟世界无产阶级社会主义革命新纪元的一次革命是指（）,五四运动,俄国十月革命,太平天国运动,新民主主义革命,B
267,毛泽东在哪本著作中阐明了其新民主主义的政治、经济、文化纲领（）,《论联合政府》,《新民主主义论》,《井冈山的斗争》,《论人民民主专政》,B
268,以毛泽东为主要代表的中国共产党人在实践中总结出来的关于中国革命道路问题的科学概念是（） ,农村包围城市思想,坚持党的领导思想,工农武装割据思想,党的基本路线思想,C
269,毛泽东建军思想的核心是（）,"坚持党对军队的绝
对领导","坚持全心全意为人民服务的军队

",坚持正确的战略原则,加强人民军队建设,A
270,我国对资本主义工商业的社会主义改造基本完成的标志是（   ）,加工订货的实行,单个企业公私合营的实现,统购包销的实行,全行业公私合营的实现,D
271,我国进入社会主义社会的时间是（    ）,中华人民共和国成立之后,全国土地改革基本完成之后,过渡时期总路线的提出之后,社会主义改造基本完成之后,D
272,我国建国初期属于(   ),新民主主义社会,社会主义社会,资本主义社会,半殖民地半封建社会,A
273,我国建国初期政权的性质是(   ),无产阶级专政,农民阶级专政,资产阶级专政,各革命阶级联合专政,D
274,在我国，剥削阶级和剥削制度被消灭的标志是(   ),中华人民共和国的建立,全国大陆的统一,社会主义改造的完成,土地改革的完成,C
275,一九五三年到一九五六年国内的主要矛盾是(   ),中国人民同国民党残余势力、地主阶级和帝国主义的矛盾,工人阶级同资产阶级的矛盾、社会主义道路同资本主义道路的矛盾,人民日益增长的物质文化生活需要同落后的社会生产之间的矛盾,帝国主义和中华民族的矛盾、封建主义同人民大众的矛盾,B
276,中国民族资产阶级在社会主义改造时期仍有两面性，其表现为(   ),革命性和妥协性,主动性和被动性,剥削工人的一面和接受党的领导的一面,进步性和顽固性,C
277,党在过渡时期总路线最显著的特点是(   ),实行社会主义建设和改造同时并举,用和平方法改造民族工商业,以实现社会主义工业化为主要目标,符合当时的基本国情，反映了新民主主义向社会主义转变的历史必然性,A
278,我国在对民族资本主义工商业实行全行业公私合营后采取的赎买政策是(   ),四马分肥,定息,加工订货、统购统销,国家资本主义,B
279,我国对民族资本主义工商业的社会主义改造的高级形式是(   ),委托加工,计划订货,统购包销、经销代销,全行业公私合营,D
280,三大改造的实质是(   ),实行农业合作化,建立国营经济,改变生产资料私有制,恢复国民经济,C
281,党在过渡时期的总路线和总任务是(    ),无产阶级领导的、人民大众的，反对帝国主义、封建主义、官僚资本主义的革命,在一相当长的时期内，逐步实现国家的社会主义工业化，并逐步实现国家对农业、手工业和资本主义工商业的社会主义改造,鼓足干劲，力争上游，多快好省地建设社会主义,以经济建设为中心，坚持四项基本原则，坚持改革开放，自力更生，艰苦创业，为把中国建设成富强、民主、文明的社会主义现代化国家而奋斗。,B
282,一九五三年提出的过渡时期总路线的过渡时期是指(   ),从中华人民共和国成立，到社会主义建成,从国民经济恢复，到社会主义改造完成,从中华人民共和国成立，到社会主义改造基本完成,从总路线提出起，到建成社会主义,C
283,一九五三年九月，毛泽东在对民主党派和工商界部分代表讲话时指出：改造资本主义工商业和逐步完成社会主义过渡的必经之路是(   ),剥夺资本家的财产,排挤私营工商业,国家资本主义,保护民族工商业,C
284,在社会主义改造中，中国共产党对资本主义工商业所采取的政策是(   ),利用,没收,限制,和平赎买,D
285,新中国在对资本主义工商业实行社会主义改造的过程中，在利润分配上采取的政策是(   ),统筹兼顾,劳资两利,公私兼顾,四马分肥,D
286,党的过渡时期总路线的主体是(   ),三大改造,社会主义革命和社会主义建设同时并举,社会主义工业化建设,对农业的社会主义改造,C
287,下面关于社会主义改造不正确的论述有(   ),社会主义改造的基本完成标志着社会主义制度在中国的确立,社会主义改造的基本完成实现了中国历史上最广泛最深刻的社会变革,社会主义改造的基本完成为中国的社会主义现代化建设奠定了基础,社会主义改造的基本完成标志中国已经建成了社会主义,D
288,党对农业的社会主义改造采取了循序渐进的步骤，逐步实现过渡。其中第二步是组织(   ),农业生产变工队,农业生产互助组,初级农业生产合作社,高级农业生产合作社,C
289,我国在对农业和手工业进行社会主义改造时采取的方针是(   ),积极领导、稳步前进,利用、限制、改造,和平赎买,自愿互利、典型示范和国家帮助,A
290,对资本主义工商业实行社会主义改造，使资本主义所有制过渡到社会主义公有制具有决定意义的重大步骤是(   ),委托加工,计划订货,统购包销,全行业公私合营,D
291,社会主义过渡时期总路线错误的说法是(   ),主要内容是“一化三改”,过渡时期结束的标志是社会主义改造结束,以单一的社会主义公有制为目标,以中国特色社会主义为目标,D
292,我国从新民主主义到社会主义的过渡时期，个体经济向社会主义集体经济过渡的形式是(   ),国营经济,私人资本主义经济,合作社经济,国家资本主义经济,C
293,中国历史上最深刻最大的社会变革是指（）,社会主义基本制度的确立,三大改造,新中国的成立,新民主主义革命,         A
294,在对资本主义工商业改造中，国家对资方在职人员和资方代理人所采取的原则是指（）,量才适用，适当照顾,改造,包下来,利用,         A
295,“工人革命的第一步就是使无产阶级上升为统治阶级，争得民主”出自以下哪一本著作（）,《关于农业生产互助合作的决议》,《共产党宣言》,《毛泽东文集》,"《关于党在过渡时期总路线的学习和宣传提纲》
",     B
296,社会主义改造中，中国共产党对待农民的方法是（）,引导、说服、教育,改造、教育,剥夺,引导、改造,  A
297,党的十八大提出建设中国特色社会主义的总体布局是（）,“两手抓”,“三位一体”,“四位一体”,“五位一体”,D
298,“五位一体”将勾勒出一幅（）的社会主义现代化强国壮美景象。,富强文明自由和谐美丽,富裕民主文明和谐美丽,富强民主文明和谐生态,富强民主文明和谐美丽,D
299,实现社会主义现代化和中华民族伟大复兴的中国梦，科学的发展理念和（）必不可缺。,发展战略,发展战术,发展思维,发展思想,A
300,新发展理念是是习近平新时代中国特色社会主义（）思想的主要内容。,经济,政治,文化,社会,A
301,坚持开放发展，就要努力提髙我国在全球经济治理中的（），构建广泛的利益共同体。,理论性话语权,制度性话语权,道路性话语权,文化性话语权,B
302,贯彻新发展理念、建设现代化经济体系必须坚持（）结构性改革。,供给侧,需求侧,全要素,全动能,A
303,只有推进供给侧结构性改革，提髙（）体系质量，才能推动经济高质量发展。,生产,供给,消费,需求,B
304,深化供给侧结构性改革，必须持续推进（），优化市场供求结构。,“一去一降一补”,“二去一降一补”,“三去一降一补”,“四去一降一补”,C
305,伴随中国特色社会主义进入新时代，我国经济已由高速增长阶段转向（）发展阶段。,高数量,高质量,高供给,高需求,B
306,只有形成现代化（）体系，才能更好顺应现代化发展潮流和赢得国际竞争主动，也才能为其他领域现代化提供有力支撑。,经济,政治,文化,社会,A
307,现阶段我国经济发展主要矛盾已转化成结构性问题，矛盾的主要方面在（  ）,增长侧,需求侧,供给侧,市场侧,C
308,建设现代化经济体系，必须建设创新引领、协同发展的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,A
309,建设现代化经济体系，必须建设统一开放、竞争有序的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,B
310,建设现代化经济体系，必须建设体现效率、促进公平的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,C
311,建设现代化经济体系，必须建设彰显优势、协调联动的（）。,产业体系,市场体系,收入分配体系,城乡区域发展体系,D
312,建设现代化经济体系，必须建设资源节约、环境友好的（）。,产业体系,市场体系,绿色发展体系,城乡区域发展体系,C
313,建设现代化经济体系，必须建设多元平衡、安全髙效的（）。,产业体系,市场体系,绿色发展体系,全面开放体系,D
314,建设现代化经济体系，必须建设充分发挥市场作用、更好发挥政府作用的（）体制。,经济,政治,文化,社会,A
315,优化现代化经济体系的空间布局，必须实施好（）。,创新驱动发展战略,区域协调发展战略,科教兴国战略,人才强国战略,B
316,党的领导是人民当家作主和依法治国的（）。,基本保证,根本保证,基本特征,根本特征,B
317,人民当家作主是社会主义民主政治的（）。,基本保证,根本保证,基本特征,本质特征,D
318,依法治国是党领导人民治理国家的（）。,基本保证,根本保证,基本方式,根本方式,C
319,坚持党的领导，就要发挥党总揽全局、协调各方的（）作用。,领导核心,主要领导,基本领导,基础领导,A
320,（）是坚持党的领导、人民当家作主、依法治国有机统一的根本政治制度安排。,人民代表大会制度,中国共产党领导的多党合作和政治协商制度,民族区域自治制度,基层群众自治制度,A
321,中国共产党领导的多党合作和政治协商制度是我国的一项（）。,根本政治制度,基本政治制度,基础政治制度,基层政治制度,B
322,（）是社会主义协商民主的重要渠道和专门协商机构。,人大常委会,人民政协,纪委,统战部,B
323,完善基层群众自治制度，发展基层民主，是社会主义民主政治建设的（）。,根本,重点,核心,基础,D
324,巩固和发展爱国统一战线，必须牢牢把握（）的主题，找到最大公约数，画出最大同心圆。,大团结,大统一,大团结大联合,大团结大统一,C
325,建设中国特色社会主义文化，必须巩固（）在意识形态领域的指导地位，牢牢掌握意识形态工作领导权。,西方马克思主义,马克思主义,马克思主义哲学,马克思主义政治经济学,B
326,富强、民主、文明、和谐，自由、平等、公正、法治，爱国、敬业、诚信、友善，是社会主义核心价值观的（）。,基本追求,基本要求,基本精神,基本内容,D
327,富强、民主、文明、和谐，自由、平等、公正、法治，爱国、敬业、诚信、友善，是（）的集中体现。,当代中国精神,当代世界精神,传统中国精神,传统世界精神,A
328,社会主义核心价值观是（）的内核凝练和集中表达。,马克思主义理论体系,社会主义理论体系,社会主义思想体系,社会主义核心价值体系,D
329,培育和践行社会主义核心价值观，要把社会主义核心价值观融入（）各个方面。,政治生活,经济生活,文化生活,社会生活,D
330,在发展中保障和改善民生，就是要多谋民生之利、多解民生之忧，在发展中补齐民生短板、促进社会公平正义，抓民生要抓住人民最关心最直接最现实的（）问题。,房价,教育,利益,医疗,C
331,（）是人民生存的经济基础和基本保障，是最大的民生工程、民心工程、根基工程。,教育,医疗,就业,住房,C
332,社会治理的重心要向基层下移，落实到城乡（）。,街道,社区,楼道,居民,B
333,生态文明的核心是坚持（）和谐共生。,人与人,自然与自然,人与自然,人与环境,C
334,人与自然是生命共同体。我国积极推动绿色发展，促进人与自然（  ）,和谐共生,和谐共处,稳定发展,对立统一,A
335,全面建成小康社会是中国共产党的第（）个百年奋斗目标。,一,二,三,四,A
336,全面建成小康社会，更重要、更难做到的是（）。“小康”讲的是发展水平，“全面”讲的是发展的平衡性、协调性、可持续性。,全面,建成,小康,发展,A
337,全面建成小康社会，“小康”讲的是（）。,丰衣足食,国家富强,民族振兴,发展水平,D
338,全面小康，覆盖的领域要全面，是（）全面进步的小康。,“四位一体”,“五位一体”,“六位一体”,“七位一体”,B
339,全面建成小康社会，“全面”讲的是（）。,发展的平衡性、协调性、可持续性,总量和速度上完成了目标,多样性,发展水平,A
340,“小康不小康，关键看老乡”，“没有全民小康，就没有全面小康”的意思是：（）。,农村要领导小康社会建设,只要农村居民小康了，小康社会就实现了,全面小康需要得到农民认可,全面小康，覆盖的人口要全面，是惠及包括农民在内全体人民的小康。,D
341,新中国成立以来特别是改革开放以来，党带领人民进行了艰辛探索，创造了中国式现代化新道路，创造了（），实现了人类历史上前所未有的大变革。,共产主义新形态,历史的终结,人类文明新形态,社会主义新形态,C
342,党的十九大把（）和防范化解重大风险、污染防治一道作为决胜全面建成小康社会的三大攻坚战进行全面部署。,打造网络清朗空间,脱贫攻坚,金融安全,全方位外交,B
343,到2020年底，我国消除了（），完成了全面建成小康社会最艰巨最繁重的任务，为实现全面建成小康社会目标任务作出了关键性贡献、打下了坚实基础。,区域性贫困,绝对贫困 ,相对贫困,群体性贫困,B
344,要破解发展中面临的难题，化解来自各方面的风险挑战，推动经济社会持续健康发展，必须依靠（）。,全面建成小康社会,全面深化改革,全面依法治国,全面从严治党,B
345,坚持什么样的改革（），决定着改革的性质和最终成败,方向,目标,手段,措施,A
346,改革能否顺利推进，关键（）。,取决于人民的支持,取决于目标的坚定,取决于经济的发展,取决于党，取决于党的集中统一领导,D
347,党的（）全会通过了《中共中央关于全面深化改革若干重大问题的决定》，提出全面深化改革的总目标是完善和发展中国特色社会主义制度，推进国家治理体系和治理能力现代化。,十八大,十八届二中,十八届三中,十八届四中,C
348,国家治理体系和治理能力是一个国家的制度和制度执行能力的集中体现，两者（）。,是一样的,相辅相成,方向一致,对立统一,B
349,能否构建具有强大感召力的（），关系社会和谐稳定，关系国家长治久安。,领导核心,道德文化,社会风俗,核心价值观,D
350,（）是当代中国发展进步的活力之源，是坚持和发展中国特色社会主义的必由之路。,改革开放,党的领导,四项基本原则,人民主体地位,A
351,全面深化改革，整体推进、协同改革不是平均用力、齐头并进，也要注重抓主要矛盾和矛盾的主要方面，注重（）。,抓重要领域和关键环节,重要目标和重点领域,方向和措施,主要方面和关键节点,A
352,全面深化改革能否顺利推进，关键取决于党，取决于（）。,党内民主,党的反腐败事业,党的集中统一领导,党内法规建设,C
353,全面深化改革，坚持把改革的力度、（）和社会可承受的程度统一起来,发展的水平,发展的目标,发展的措施,发展的速度,D
354,新时代的全面深化改革具有许多新的内涵和特点，其中很重要的是（）分量更重。,问计于民,制度建设,经济指标,行政效能,B
355,全面深化改革要把（）作为正确处理改革发展稳定关系的结合点,提高生产力,改善人民生活,产生经济效益,国家综合实力,B
356,全面深化改革，必须坚定（）立场。,人民,党的,国家利益,社会主义,A
357,（）是中国特色社会主义的本质要求和重要保障。,全面建设社会主义现代化强国,全面深化改革,全面依法治国,全面从严治党,C
358,（）明确把依法治国确立为治理国家的基本方略，把建设社会主义法治国家确定为社会主义现代化建设的重要目标。,党的十四大,党的十五大,党的十六大,党的十七大,B
359,1999年3月，九届全国人大二次会议通过的《中华人民共和国宪法修正案》将（）正式写入宪法。,以法治国,依法制国,依法治国,依宪治国,C
360,2010年，中国已经形成了以（）为核心的中国特色社会主义法律体系，为改革开放和社会主义现代化建设提供了有力的法治保障。,民主,法律,法制,宪法,D
361,2014年十八届四中全会通过了（），明确提出全面推进依法治国，加快建设法治中国，开启了中国特色社会主义法治道路的新征程。,《关于全面推进依法制国若干重大问题的决定》,《关于全面推进依法治国若干重大问题的决定》,《关于全面推进以法治国若干重大关系问题的决定》,《关于全面推进依宪治国若干重大问题的决定》,B
362,（）是社会主义法治最根本的保证。,党的领导,公平正义,依法治国,社会和谐,A
363,建设中国特色社会主义法治体系，首先是（）。,加强法治专门队伍和法律服务队伍建设,要建立严密的法治监督体系,要完善以宪法为核心的中国特色社会主义法律体系,要加强党内法规制度建设,C
364,新时代党的建设总要求是坚持和加强党的全面领导，坚持党要管党、全面从严治党，以（）为主线。,加强党的长期执政能力建设、先进性和纯洁性建设,党的政治建设,坚定理想信念宗旨,调动全党积极性、主动性、创造性,A
365,新时代党的建设要以（）为统领。,思想建设,组织建设,作风建设,政治建设,D
366,党的政治建设是党的根本性建设，决定（）。,党的建设方向和效果,党的建设的目标和价值,党的建设的方向和价值,党的建设的途径和方法,A
367,党的政治建设的首要任务是（）。,坚定执行党的政治路线，严格遵守政治纪律和政治规矩,保证全党服从中央，坚持党中央权威和集中统一领导,要尊崇党章，严格执行新形势下党内政治生活若干准则,完善和落实民主集中制的各项制度，坚持民主基础上的集中和集中指导下的民主相结合,B
368,（）是党的基础性建设,政治建设,组织建设,思想建设,制度建设,C
369,（）的核心是保持党同人民群众的血肉联系。,作风建设,思想建设,组织建设,政治建设,A
370,严明党的纪律，首要的是严明（）纪律。,思想,组织,政治,生活,C
371,加强（）建设是全面从严治党的长远之策、根本之策。,思想,制度,组织,政治,B
372,党的干部是党和国家事业的中坚力量，党坚持党管干部原则，坚持正确选人用人导向，突出（），提拔重用忠诚干净担当的干部。,经济导向,文化素质,道德水平,政治标准,D
373,新时代党的好干部标准是（）。,信念坚定、为民服务、勤政务实、敢于担当、清正廉洁,有理想、有道德、有文化、有素质,年轻化、革命化、专业化,政治过硬、经济能干、文化素质高,A
374,党的（）通过了《中共中央关于党的百年奋斗重大成就和历史经验的决议》,十九大,十九届三中全会,十九届五中全会,十九届六中全会,D
375,党的第二个百年奋斗目标是（）,全面建成社会主义现代化强国,全面建成社会主义现化代国家,全面建设社会主义现代化强国,全面建设社会主义现代化国家,A
376,（）竞争是国家间根本的竞争。,文化,制度,科技,军事,B
377,我国国家制度和国家治理体系具有()个方面的显著优势,8,10,13,14,C
378,邓小平曾经指出，和平问题是东西问题，（）问题是南北问题。,战争,发展,稳定,经济发展,B
379,邓小平理论形成的时代背景是（）成为时代主题。,和平,发展,和平与发展,经济建设,C
380,“文革”结束后，党的（）重新确立解放思想、实事求是的思想路线。,十一届三中全会,十二大,十三大,十四大,A
381,邓小平在党的（）开幕词中首次明确提出中国特色社会主义这一命题。,十一大,十二大,十三大,十四大,B
382,党的十三大，第一次比较系统地论述了我国（）理论。,社会主义初级阶段,经济建设,政治体制改革,文化发展,A
383,"1984年党的十二届三中全会作出了《关于经济体制改革的决定》，
提出社会主义经济是公有制基础上的有计划的（）。",市场经济,商品经济,计划经济,社会主义市场经济,B
384,党的（）正式提出了“邓小平理论”这一概念。,十四大,十五大,十六大,十七大,B
385,我国社会主义初级阶段是（    ）。,任何国家进入社会主义都必然经历的起始阶段,特指我国在生产力落后，商品经济不发达条件下建设社会主义必然要经历的阶段,由新民主主义向社会主义过渡的阶段,由半殖民地、半封建社会向社会主义社会过渡的阶段,B
386,党的十三大报告提出党在社会主义初级阶段的（）。,基本路线,基本纲领,基本方针,基本政策,A
387,以经济建设为中心，回答了社会主义的（）问题。,根本目标,根本任务,本质特征,基本目标,B
388,坚持四项基本原则，回答了解放和发展生产力的（）问题。,政治保证,政治保障,理论前提,发展动力,A
389,坚持改革开放，回答了社会主义的（）和外部条件问题。,发展目标,发展动力,发展道路,发展方向,B
390,"“领导和团结全国各族人民”，这是实现社会主义现代化奋斗目标的
领导力量和（）。",基础力量,根源源泉,依靠力量,保障力量,C
391,自力更生、艰苦奋斗，这是实现社会主义初级阶段奋斗目标的（）。,基本前提,基本保证,根本立足点,根本着力点,C
392,我国社会主义初级阶段的主要矛盾是（    ）。,工人阶级与资产阶级之间的矛盾,人民日益增长的美好生活需要和落后的社会生产之间的矛盾,促进效率提高与体现社会公平之间的矛盾,人口增长与经济发展不相适应的矛盾,B
393,（）是社会发展的最根本的决定性因素。,生产力,生产关系,阶级斗争,劳动力,A
394,社会主义的根本任务是（）。,阶级斗争,发展,发展生产力,提高人民生活水平,C
395,把“和谐”与“富强民主文明”一起写入了社会主义初级阶段基本路线的是（    ）。,党的十七大,党的十六大,党的十五大,党的十四大,A
396,"把“美丽”与“富强民主文明和谐”一起写入了社会主义初级阶段
基本路线的是（    ）。",党的十七大,党的十六大,党的十五大,党的十八大,D
397,根据邓小平提出的“三步走”发展战略，我国到21世纪中叶的战略目标是（        ）。,全面建成小康社会,基本接近发达国家水平，生活比较富裕,基本实现现代化，达到中等发达国家的水平,物质文明与精神文明基本协调发展,C
398,改革是社会主义社会发展的（）。,直接动力,强大动力,力量源泉,内生动力,A
399,我国经济体制改革的核心问题是如何正确认识和处理（）的关系。,计划与市场,资本主义和社会主义,发展速度和效益,稳定与发展,A
400,“和平统一、一国两制”的核心是（）。,实行两种制度,坚持一个中国,和平统一,祖国统一,B
401,“一国两制”伟大构想的提出是从解决（）问题开始的。,香港,澳门,金门,台湾,D
402,“一国两制”伟大构想在实践中首先运用于解决（）问题、澳门问题。,香港,马祖,金门,台湾,A
403,建设中国特色社会主义，关键是坚持、加强和改善（）。,政府领导,市场作用,党的领导,人大政协作用,C
404,（）是中国特色社会主义理论体系的开篇之作。,毛泽东思想,邓小平理论,“三个代表”重要思想,科学发展观,B
405,邓小平曾经指出，实现现代化，关键是（）。,人才,科教兴国,科学技术,发展经济,C
406,（）是最根本的党规党法，各级党组织和每个党员都要按党章办事。,宪法,各种法律,党章,人民代表大会制度,C
407,（）是马列主义的精髓，是毛泽东思想的精髓，也是邓小平理论的精髓。,实事求是,解放思想,本本主义,阶级斗争,A
408,《论十大关系》形成于（  ）年,一九五六,一九五七,一九五八,一九五九,A
409,《论十大关系》以（）国为借鉴对象,日本,苏联,美国,英国,B
410,《论十大关系》确定的基本方针是（）,以苏为鉴,努力把党内党外、国内国外的一切积极的因素，直接的、间接的积极因素全部调动起来,以经济建设为中心,一个中心，两个基本点,B
411,判断人们的言论和行动是非的六条标准中最重要的一条（）是,经济发展,社会进步,人民生活水平的提高,有利于巩固共产党的领导，而不是摆脱或者削弱这种领导,D
412,毛泽东的（    ），初步总结了我国社会主义建设的经验，明确提出了以苏为鉴，独立自主地探索适合中国情况的社会主义建设道路。,《湖南农民运动考察报告》,《矛盾论》,《新民主主义论》,《论十大关系》,D
413,中国特色社会主义建设道路的探索始于（    ）。,毛泽东,邓小平,江泽民,胡锦涛,A
414,毛泽东提出的实现马克思主义与中国实际的“第二次结合”，就是要（    ）。,走出中国自己的社会主义革命道路,走出中国自己的社会主义建设道路,延续“第一次结合”的内容,弥补“第一次结合”的错误,B
415,中国共产党关于社会主义建设道路的探索是（    ）开始的。,从探索了工业化的道路后,在对苏联模式弊端已有认识的背景下,从对社会主义社会基本矛盾的认识基础上,从中国社会主义改造道路的实践中,B
416,体现社会主义建设道路初步探索的理论成果的重要著作是（    ）。,《中国社会各阶级的分析》和《湖南农民运动考察报告》,《实践论》和《矛盾论》,《新民主主义论》和《论人民民主专政》,《论十大关系》和《关于正确处理人民内部矛盾的问题》,D
417,毛泽东的（    ）一文标志着党探索中国社会主义建设道路的良好开端。,《实践论》,《新民主主义论》,《论人民民主专政》,《论十大关系》,D
418,最早专门系统论述社会主义社会的矛盾问题，并形成了社会主义社会矛盾的学说的无产阶级革命导师是（    ）。,马克思,列宁,斯大林,毛泽东,D
419,1957年毛泽东所作的系统论述社会主义社会矛盾的理论的报告是（    ）。,《实践论》,《矛盾论》,《论十大关系》,《关于正确处理人民内部矛盾的问题》,D
420,中国共产党的第八次全国代表大会是在（    ）年召开的。,一九四五,一九四九,一九五六,一九六六,C
421,1956年召开的党的代表大会是党的（    ）。,七大,八大,九大,十大,B
422,敌我矛盾和人民内部矛盾这两类性质完全不同的矛盾，是社会主义社会的矛盾在（    ）上的反映。,政治,经济,文化,生态,A
423,在社会主义社会，关于两类不同性质的矛盾的观点，正确的是（    ）。,敌我矛盾居于主导地位,人民内部矛盾居于主导地位,敌我矛盾和人民内部矛盾都居于主导地位,敌我矛盾和人民内部矛盾都不居于主导地位,B
424,毛泽东指出，解决人民内部矛盾的总方针是（    ）。,民主的方法,“团结—批评—团结”的方法,“百花齐放、百家争鸣”的方法,“长期共存、互相监督”的方法,A
425,根据《关于正确处理人民内部矛盾的问题》的分析，对于政治思想领域的人民内部矛盾，解决的具体方针是（    ）。,“团结—批评—团结”,“批评—团结—批评”,“团结—批评—批评”,“批评—团结—团结”,A
426,根据《关于正确处理人民内部矛盾的问题》的分析，对于物质利益、分配方面的人民内部矛盾，解决的具体方针是（    ）。,“团结—批评—团结”,统筹兼顾、适当安排,“百花齐放、百家争鸣”,“长期共存、互相监督”,B
427,根据《关于正确处理人民内部矛盾的问题》的分析，对于科学文化领域里的人民内部矛盾，解决的具体方针是（    ）。,“团结—批评—团结”,统筹兼顾、适当安排,“百花齐放、百家争鸣”,“长期共存、互相监督”,C
428,根据《关于正确处理人民内部矛盾的问题》的分析，对于科学文化领域里的人民内部矛盾，解决的具体方针是（    ）,“百花齐放、百果飘香”,“百花齐放、百家争鸣”,“百果飘香、百家争鸣”,“百家争鸣、百舸争流”,B
429,根据《关于正确处理人民内部矛盾的问题》的分析，对于共产党和民主党派的人民内部矛盾，解决的具体方针是（    ）。,“团结—批评—团结”,统筹兼顾、适当安排,“百花齐放、百家争鸣”,“长期共存、互相监督”,D
430,根据《关于正确处理人民内部矛盾的问题》的分析，对于民族之间的人民内部矛盾，解决的具体方针是（    ）。,民族平等、团结互助,汉族至上、少数民族次之,少数民族至上、汉族次之,责任均等、各打五十大板,A
431,中国共产党很早就重视国家的工业化问题，早在（    ）时期，毛泽东就指出，中国的民族独立有巩固的保障，就必须工业化。,大革命,土地革命,抗日战争,解放战争,C
432,在（    ）一文中，毛泽东明确提出要走一条有别于苏联的中国工业化的道路。,《新民主主义论》,《论人民民主专政》,《论十大关系》 ,《关于正确处理人民内部矛盾的问题》,D
433,社会主义改造完成进入全面社会主义建设时期，为逐步建立独立的比较完整的基础工业体系和国防工业体系，我们把（    ）作为我国经济建设的重点。,重工业,轻工业,农业,服务业,A
434,社会主义建设时期，毛泽东提出了以农业为基础，以工业为主导，以（    ）为序的发展国民经济的总方针。,农轻重,农重轻,重农轻,重轻农,A
435,社会主义建设时期，关于所有制结构的调整，提出要注意发展手工业和农业多种经营的思想的党和国家领导人是（    ）。,毛泽东,刘少奇,周恩来,朱德,D
436,社会主义建设时期，提出“三个主体、三个补充”设想的党和国家领导人是（    ）。,毛泽东,周恩来,陈云,邓小平,C
437,社会主义建设时期，提出“两参一改三结合”思想的党和国家领导人是（    ）。,毛泽东,周恩来,陈云,邓小平,A
438,社会主义建设时期，提出“我们的目标，是想造成一个又有集中又有民主，又有纪律又有自由，又有统一意志，又有个人心情舒畅、生动活泼，那样一种政治局面，以利于社会主义革命和社会主义建设”思想的党和国家领导人是（    ）。,毛泽东,刘少奇,周恩来,朱德,A
439,社会主义建设时期，党和毛泽东提出了实现四个现代化的宏伟目标，并强调实现四个现代化关键在于（    ）。,农业现代化,工业现代化,国防现代化,科学技术现代化,D
440,社会主义建设时期，关于科学和教育，提出实行“两种劳动制度、两种教育制度”设想的党和国家领导人是（    ）,毛泽东,刘少奇,周恩来,朱德,B
441,社会主义建设时期，提出知识分子是工人阶级一部分的观点的党和国家领导人是（    ）。,毛泽东,刘少奇,周恩来,朱德,C
442,社会主义民主的本质是（    ）。,人民当家作主,公民当家作主,工人当家作主,农民当家作主,A
443,我国社会主义制度建立以后，在全党和全国工作重心（    ）的时候，面临着一个如何认识和处理社会主义社会矛盾的问题。,由革命转向改造,由革命转向建设,由革命转向改革,由建设转向改革,B
444,新中国的工业化是在（    ）的影响下起步的。,英国,美国,日本,苏联,D
445,社会主义建设时期，提出要建立“适合于我国情况和人民需要的社会主义市场”的思想的党和国家领导人是（    ）。,毛泽东,刘少奇,陈云,邓小平,C
446,社会主义建设时期，党提出了“向科学进军”的口号，强调实现四个现代化关键在于科学技术现代化，要实行（    ）的科技发展战略，努力赶超世界先进水平。,全面发展、步步跟上,全面发展、迎头赶上,重点发展、步步跟上,重点发展、迎头赶上,D
