,题干,A,B,C,D,E,F,答案
171,1992年邓小平提出了“发展才是硬道理”的著名论断，这一论断（    ）,把发展生产力作为社会主义建设的根本任务,符合马克思主义基本原理,是对社会主义实践经验教训的深刻总结    ,是符合时代主题变化的需要,,,ABCD
172,1980年代初，邓小平对违背社会主义的错误思想进行了深刻的剖析，提出如下重要观点（    ）,贫穷不是社会主义,发展太慢不是社会主义,平均主义不是社会主义,两极分化也不是社会主义,,,ABCD
173,邓小平指出：社会主义的优越性，归根到底是要（    ）,大幅度发展社会生产力,逐步改善、提高人民的物质生活和精神生活,战胜资本主义,改变生产关系,,,AB
174,“三步走”发展战略的意义是（    ）,把我国社会主义现代化建设的具体目标化为切实可行的步骤,展现了美好的前景,统一了全党和全国人民的与意志,成为全国人民为共同理想而努力奋斗的行动纲领,,,ABCD
175,在国际关系上，邓小平主张在和平共处五项原则的基础上，建立（）的国际新秩序。,和平,稳定,公正,合理,,,ABCD
176,邓小平强调，按照（）的方针培养和选拔德才兼备的干部。,革命化,年轻化,知识化,专业化,,,ABCD
177,社会主义初级阶段的基本特征有（）。,"逐步摆脱不发达状态
，基本实现现代化","农业国向工业
国转变",人民生活水平较低向比较富裕转变,建立比较完善的社会主义市场经济体制,,,ABCD
178,以下属于《论十大关系》思想的是（）,以苏为鉴,探索适合中国情况的社会主义建设道路,调动一切积极因素,发展中国特色社会主义,,,A B C
179,以下关于《论十大关系》说法正确的是（）,报告从十个方面论述了我国社会主义建设需要重点把握的一系列重大关系，内容涉及生产力和生产关系、经济基础和上层建筑各方面,前三条讲重工业和轻工业、农业的关系，沿海工业和内地工业的关系，经济建设和国防建设的关系,第四、五条讲国家、生产单位和生产者个人的关系，中央和地方的关系,后五条讲汉族与少数民族的关系、党与非党的关系、革命和反革命的关系、是非关系、中国和外国的关系,,,A B C D
180,在《论十大关系》中，关于消极因素和积极因素的说法正确的是（）,既包括党内的因素，也包括党外的因素,既包括国内的因素，也包括国外的因素,既包括直接的因素，也包括间接的因素,既包括重要因素，也包括非重要因素,,,A B C
181,在探索中国社会主义建设道路过程中，毛泽东提出，社会主义可分为（）两个阶段,不发达的社会主义,社会主义,比较发达的社会主义,共产主义,,,A C
182,《论十大关系》的报告中的十大关系涉及（    ）等各方面。,生产力和生产关系,经济基础和上层建筑,大革命和土地革命,抗日战争和解放战争,,,A B
183,《论十大关系》的报告中的十大关系，前三条讲（    ）。,重工业和轻工业、农业的关系,沿海工业和内地工业的关系,经济建设和国防建设的关系,国家、生产单位和生产者个人的关系,,,A B C
184,《论十大关系》的报告中的十大关系，后五条讲（    ）以及是非关系，都是属于政治生活和社会文化生活方面调动各种积极因素的问题。,汉族与少数民族的关系,党和非党的关系,革命和反革命的关系,中国和外国的关系,,,A B C D
185,毛泽东在《论十大关系》的报告中指出，在社会主义事业的发展中，一般来说，经济因素是处于（    ），占有压倒的优势，这是社会主义事业必定胜利的可靠保证。,主导的,统治地位的,非主导的,被统治地位的,,,A B
186,毛泽东在《论十大关系》的报告中指出，我们的任务是，（     ）为社会主义建设服务。,化消极因素为积极因素,化积极因素为消极因素,化不利因素为有利因素,化有利因素为不利因素,,,A C
187,社会主义建设道路初步探索的重要思想成果主要有（     ）。,调动一切积极因素为社会主义事业服务的思想,正确认识和处理社会主义社会矛盾的思想,走中国工业化道路的思想,走符合中国国情的社会主义改造道路的思想,,,A B C
188,毛泽东指出，在社会主义社会中，基本的矛盾仍然是（    ）。,生产关系和生产力之间的矛盾,上层建筑和经济基础之间的矛盾,无产阶级和资产阶级之间的矛盾,社会主义道路和资本主义道路之间的矛盾,,,A B
189,关于社会主义社会的矛盾的观点，正确的有（    ）。,社会主义社会的矛盾是非对抗性的矛盾,社会主义社会的矛盾是对抗性的矛盾,社会主义社会的矛盾可以经过社会主义制度本身不断地得到解决,社会主义社会的矛盾不可能经过社会主义制度本身不断地得到解决,,,A C
190,社会主义制度在我国基本建立之后，我国国内的主要矛盾已经是（    ）。,先进的工业国的要求同落后的农业国的现实之间的矛盾,人民对于经济文化迅速发展的需要同当前经济文化不能满足人民需要的状况之间的矛盾,无产阶级巩固政权同资产阶级复辟倒退之间的矛盾,社会主义道路的前进同资本主义道路的倒退之间的矛盾,,,A B
191,在社会主义社会，关于两类不同性质的矛盾的观点，错误的有（    ）。,敌我矛盾居于主导地位,人民内部矛盾居于主导地位,敌我矛盾和人民内部矛盾都居于主导地位,敌我矛盾和人民内部矛盾都不居于主导地位,,,A C D
192,根据《关于正确处理人民内部矛盾的问题》的分析，解决人民内部矛盾的具体方针有（    ）。,民主的方法,“团结—批评—团结”的方法,“百花齐放、百家争鸣”的方法,“长期共存、互相监督”的方法,,,B C D
193,根据《关于正确处理人民内部矛盾的问题》的分析，对于科学文化领域里的人民内部矛盾，解决的具体方针包含（    ）。,百花齐放,百果飘香,百家争鸣,百舸争流,,,A C
194,毛泽东、共产党提出中国实现工业化（或走工业化道路）的时期和场合有（    ）。,抗日战争时期,党的七届二中全会,社会主义改造时期,《关于正确处理人民内部矛盾的问题》一文,,,A B C D
195,社会主义建设时期，毛泽东提出的发展国民经济的总方针，其内容包括（    ）。,以农业为基础,以工业为主导,以农轻重为序,以重轻农为序,,,A B C
196,关于社会主义发展阶段，毛泽东提出，社会主义又可分为两个阶段，其含义有（    ）。,第一个阶段是不发达的社会主义,第二个阶段是比较发达的社会主义,前一个阶段可能比后一个阶段需要更长的时间,后一个阶段可能比前一个阶段需要更长的时间,,,A B D
197,社会主义建设时期，毛泽东提出的我国社会主义现代化的战略目标就是实现四个现代化。该“四化”内容包括（    ）。,农业现代化,工业现代化,国防现代化,科学技术现代化,,,A B C D
198,社会主义建设时期，关于经济建设，毛泽东多次阐述了统筹兼顾的方针，主要是处理好一系列关系。这些关系主要有（    ）。,国家、集体与个人的关系,中央与地方的关系,积累与消费的关系,长远利益与当前利益的关系,,,A B C D
199,社会主义建设时期，陈云提出了“三个主体、三个补充”的设想。该设想的主要内容有（    ）。,在工商业经营方面，国家经济和集体经济是工商业的主体，一定数量的个体经济是国家经济和集体经济的补充,在生产计划方面，计划经济是工农业生产的主体，按照市场变化在国家计划许可范围内的自由生产是计划生产的补充,在社会主义的统一市场里，国家市场是它的主体，一定范围内的国家领导的自由市场是国家市场的补充,在社会制度方面，社会主义制度是我国社会制度的主体，一定地区（如港澳台）内的资本主义制度是我国社会主义制度的补充,,,A B C
200,社会主义建设时期，关于经济体制和运行机制改革，毛泽东提出了“两参一改三结合”的思想，其主要内容是（    ）。,干部参加劳动,工人参加管理,改革不合理的规章制度,工人群众、领导干部和技术人员三结合,,,A B C D
201,社会主义建设时期，关于科学和教育，刘少奇提出实行“两种劳动制度、两种教育制度”，其内容有（    ）。,一种是全日制的劳动制度、全日制的教育制度,一种是半日制的劳动制度、半日制的教育制度,一种是青少年的劳动制度、青少年的教育制度,一种是中老年的劳动制度、中老年的教育制度,,,A B
202,我国社会主义建设道路初步探索的意义有（    ）。,巩固和发展了我国的社会主义制度,丰富和发展了毛泽东思想，其理论得以成为毛泽东思想的重要组成部分,为开创中国特色社会主义提供了宝贵经验、理论准备、物质基础,丰富了科学社会主义的理论和实践,,,A B C D
203,我国社会主义建设道路初步探索的经验教训有（    ）。,必须把马克思主义与中国实际相结合，探索符合中国特点的社会主义建设道路,必须正确认识社会主义社会的主要矛盾和根本任务，集中力量发展生产力,必须从实际出发进行社会主义建设，建设规模和速度要和国力相适应，不能急于求成,必须发展社会主义民主，健全社会主义法制,,,A B C D
204,毛泽东关于社会主义社会矛盾的学说的重大意义有（    ）。,科学揭示了社会主义社会发展的动力,为正确处理社会主义社会各种矛盾、创造良好的社会环境和政治环境，提供了基本的理论依据,为后来的社会主义改革奠定了理论基础,以其独创性的内容丰富了马克思主义的理论宝库,,,A B C D
205,党的十九大以如椽巨笔书写了民族复兴的“未来简史”，以下说法正确的是(),新时代是坐标,新思想是灵魂,强起来是底色,美起来是根本,,,ABC
206,新时代我国社会主要矛盾已经转化的主要依据是(),经过改革开放40年的发展，我国社会生产力水平总体上显著提高，很多方面进入世界前列,人民群众对于日益增长的“物质文化需要”层次更高，内容更广泛,影响满足人民美好生活需要的因素很多，但主要是发展的不平衡不充分问题,经济建设方面取得了迅猛发展，经济结构不断优化,,,ABC
207,下列关于我国基本国情判断正确的有(),我国是世界上最大发展中国家的国际地位没有变,我国仍处于并将长期处于社会主义初级阶段的基本国情没有变,我国的经济发展已基本达到世界前列,随着我国经济的快速增长，政治地位、文化软实力的不断提高，目前各个方面与发达国家已经没有太大的差距。,,,AB
208,下列对于新时代的理解正确的有(),新时代是我国日益走近世界舞台中央，不断为人类作出更大贡献的时代,新时代是我决胜全面建成小康社会、进而全面建设社会主义现代化强国时代,新时代是全国各族人民团结奋斗、不断创造美好生活、逐步实现全体人民共同富裕的时代,新时代是全体中华儿女齐心同力、奋力实现中华民族伟大复兴中国梦的时代,,,ABCD
209,坚持和发展中国特色社会主义总任务是(),全面深化改革,全面建成小康社会,实现社会主义现代化,实现中华民族伟大复兴,,,CD
210,习近平新时代中国特色社会主义思想是(),是马克思主义中国化的最新成果,是党和人民实践经验和集体智慧的结晶,是中国特色社会主义理论体系的重要组成部分,是全体人民实现中华民族伟大复兴而奋斗的行动指南,,,ABCD
211,中国特色社会主义是具有鲜明()的社会主义,实践特色,理论特色,民族特色,时代特色,,,ABCD
212,党员干部必须增强()，自觉在思想上政治上行动上同党中央保持高度一致。,政治意识,大局意识,看齐意识,核心意识,,,ABCD
213,我们党最鲜明的品格是(),从严管党,从严治党,全面管党,全面治党,,,AB
214,以下对于人民的定位正确的有(),人民是历史的创造者,人民是历史的主宰者,人民是决定党和国家前途命运的根本力量,人民是中国特色社会主义的引领者,,,AC
215,习近平新时代中国特色社会主义思想历史地位是(),马克思主义中国化最新成果,新时代的精神旗帜,实现中华民族伟大复兴的行动指南,改革开放的根本指南,,,ABC
216,（）是中国共产党不可战胜的强大精神力量,敢于斗争,敢于胜利,敢于纠错,敢于挑战,,,AB
217,习近平新时代中国特色社会主义思想的理论特质包括（）,秉持人民至上,彰显历史自觉,坚持实事求是,突出问题导向,,,ABCD
218,新的历史条件下，中国共产党面临新的考验，包括（）,长期执政考验,改革开放考验,市场经济考验,外部环境考验,,,ABCD
219,新的历史条件下，中国共产党面临新的危险，包括（）,精神懈怠危险,能力不足危险,脱离群众危险,消极腐败危险,,,ABCD
220,中国梦的本质是（  ）,国家富强,民族振兴,中国崛起,人民幸福,,,ABD
221,习近平指出：实现中国梦必须（    ）。,走中国道路,弘扬中国精神,凝聚中国力量,发挥中国智慧,,,ABC
222,要增强对中国特色社会主义的（    ），坚定不移沿着正确的中国道路奋勇前进。,道路自信,理论自信,制度自信,文化自信,,,ABCD
223,坚持科学发展，就必须坚持（    ）。,全面协调可持续,统筹兼顾,以人为本,发展为本,,,ABC
224,人民是中国梦的（    ）。,主体,客体,创造者,享有者,,,ACD
225,2035年到本世纪中叶，建成社会主义现代化强国的主要目标要求是（  ）。,拥有高度的物质文明,拥有高度的政治文明,拥有高度的精神文明,拥有高度的社会文明和生态文明,,,ABCD
226,我国致力构建的新发展格局是（  ）,发展理念为先导,国内大循环为主体,国内国际双循环,创新为第一动力,,,BC
227,近代中国社会的阶级结构是“两头小中间大”，“两头”是指(      ),无产阶级,农民阶级,地主大资产阶级,城市小资产阶级,,,AC
228,近代中国革命的主要敌人有(    ),帝国主义,封建地主阶级,官僚资产阶级,民族资产阶级,,,ABC
229,毛泽东在《〈共产党人〉发刊词》中阐明了中国共产党在中国革命中的几个基本问题，认为正确地理解了这些问题及其相互关系，就等于正确地领导了全部中国革命。这些基本问题是(   )            ,统一战线,武装斗争,党的建设,根据地建设,,,ABC
230,中国革命走农村包围城市、武装夺取政权的道路，必须处理好(   )关系,土地革命,统一战线,农村革命根据地建设,武装斗争,,,ACD
231,近代中国革命的根本任务是由（   ）决定的,社会性质,主要矛盾,阶级力量对比,中国革命的特点,,,AB
232,新民主主义的文化，是民族的科学的大众的文化。其中“民族的”是指(     ) ,反对外来的资本主义文化,反对帝国主义压迫，主张中华民族的尊严和独立,在形式和内容上有中国作风和中国气派, 为全民族90%以上的工农大众服务,,,BC
233,中国革命走农村包围城市、武装夺取政权这条道路的根据是(     ),全国革命形势继续向前发展,广大农村人民革命愿望强烈,相当力量的正式红军的存在,中国经济政治发展的不平衡,,,ABCD
234,我党领导的中国革命两步走是指(     ) ,旧民主主义革命,新民主义革命,土地革命,社会主义革命,,,BD
235,在新民主主义革命时期，中国共产党的建设面临的特殊困难是(     ) ,党的理论长时期准备不足,中国社会封建思想的影响,农民和小资产阶级出身的革命者大量入党，使党处于小资产阶级思想的包围之中,共产国际在一段时期内存在的教条 主义倾向对中国共产党的影响,,,ABCD
236,近代以来中华民族面对的历史任务是(     ),民族独立和人民解放,统一战线,国家繁荣富强和人民共同富裕,党的建设,,,AC
237,中国新、旧民主主义革命的不同点是(     ),革命所处的时代不同,革命指导思想不同,革命领导阶级不同,革命前途不同,,,ABCD
238,中国新民主主义革命的目的是(     ),取消帝国主义在中国的特权,消灭地主阶级和官僚资产阶级的剥削和压迫,改变买办的封建的生产关系，以及改变建立在这种经济基础之上的腐朽的政治上层建筑,从根本上解放被束缚的生产力 ,,,ABCD
239,中国新民主主义革命的动力包括(     ),农民阶级,无产阶级,城市小资产阶级,民族资产阶级,,,ABCD
240,中国无产阶级具有承担新民主主义革命领导权的优点是(     ) ,在中国共产党的领导下富于组织性和纪律性,分布集中，有利于强大革命力量的形成,与农民有天然的联系，易于形成工农联盟,深受帝国主义、封建主义、官僚资本主义的三重压迫，革命性强,,,ABCD
241,中国新民主主义革命和社会主义革命的关系是(   ),既互相区别，又相互联系,这两个革命性质不同,民主主义革命是社会主义革命的必要准备,社会主义革命是民主主义革命的必然趋势,,,ABCD
242,在建国初期的人民民主专政的国家政权中，人民的范畴包括(     ),工人阶级,农民阶级,城市小资产阶级,民族资产阶级,,,ABCD
243,新民主主义文化的特征是(     ),民族的,科学的,现代的,大众的,,,ABD
244,新民主主义革命就是“新式的特殊的资产阶级民主主义革命”，它的基本特点是(     ),它有新的革命性质即社会主义革命的性质,它有新的领导阶级即无产阶级,它有新的指导思想即马克思主义,它有了新的前途，是社会主义,,,BCD
245,新民主主义经济纲领内容是(     ),没收封建地主阶级的土地归新民主主义国家所有,没收封建地主阶级的土地归农民所有,没收官僚资本归新民主主义国家所有,保护民族工商业,,,BCD
246,党建立、巩固和发展统一战线的经验有（   ）,建立巩固的工农联盟,正确对待资产阶级,采取区别对待的方针,坚持独立自主的原则,,,ABCD
247,新民主主义文化的“科学性”体现在（  ）,反对一切封建思想和迷信思想,主张实事求是,尊重中国历史,以历史唯物主义态度对待古今中外文化,,,ABCD
248,压在人民头上的“三座大山”是指（）,帝国主义,封建主义,"官僚资本主义
",民族资本主义,,,ABC
249,"中国共产党对民主规律的认识，经历了怎样的发展过程？（）
",从没有经验到有经验,"从有较少经验到有较多经验
",从不成熟到成熟,"从未被认识的 必然王国到自由王国
",,,ABD
250,"工农武装割据思想是以下哪三者的有机统一（）？
",农村包围城市,武装斗争,土地革命,革命根据地建设,,,BCD
251,新民主主义主义革命的政治纲领是（）,"推翻帝国主义和封建主义的统治
",建立无产阶级专政的共和国,"建立一个无产阶级领导的、工农联盟为基础的、各革命阶级专政的新民主主义共和国
",坚持人民当家作主,,,AC
252,我国对资本主义工商业实行改造采取的国家资本主义过渡形式有（    ）,加工订货,公私合营,经销代销,委托加工,,,ABCD
253,我国对资本主义工商业实行赎买政策中的“四马分肥”是指（    ）,国家所得税,企业公积金,工人福利费,资方红利,,,ABCD
254,从新民主主义到社会主义的过渡时期中国社会的阶级构成主要包括(   ),工人阶级,农民阶级,民族资产阶级,城市小资产阶级,,,ABCD
255,我国对个体农业实行社会主义改造所遵循的原则是(   ),自愿互利,典型示范,积极领导,国家帮助,,,ABD
256,二十世纪五十年代中期，社会主义改造基本完成，标志着(   ),社会主义制度在我国已经确立,我国进入了社会主义初级阶段,我国步入了社会主义改革时期,我国实现了从新民主主义向社会主义过渡,,,ABD
257,我国对个体农业的社会主义改造的历史经验主要有(    ),国家用先进的技术和装备发展农业经济,遵循自愿互利、典型示范和国家帮助的原则,在土地改革后不失时机地引导个体农民走互助合作道路,正确分析农村的阶级和阶层状况，制定正确的阶级政策,,,BCD
258,我国在对资本主义工商业进行社会主义改造过程中创造的国家资本主义的低级形式有(   ),加工订货,统购包销,经销代销,公私合营,,,ABC
259,中国社会主义改造道路的特点有(   ),社会主义工业化建设和社会主义改造同时并举,采取积极引导、逐步过渡的方式,用和平的方法改造,对资本主义工商业用暴力剥夺的方式改造,,,ABC
260,在实现农业合作化的过程中，中国共产党采取循序渐进的步骤，采用的形式为(  ),农业生产互助组,变工队,初级农业合作社,高级农业合作社,,,ACD
261,新中国对民族资本主义经济进行和平改造的可能性在于(    ),工人阶级掌握着国家政权,建立了巩固的工农联盟,民族资产阶级拥护党的领导,国营经济掌握着国家的经济命脉,,,ABCD
262,在新民主主义经济中，主要有三种不同性质的经济，即(    ),社会主义经济,个体经济,资本主义经济,中外合资经济,,,ABC
263,我国的社会主义改造是一场伟大的社会变革，但是在改造过程中也出现了一些偏差，遗留了一些问题，其原因是 (    ),在社会主义经济模式的选择上过于单一,在公有制实现形式的选择上过于简单化,指导思想上急于求成，不够谨慎,工作方法过于简单,,,ABCD
264,社会主义制度确立的重大意义主要包括（）,"极大地提高了工人阶级和劳动人民的积极性、创造性
","极大显示了社会主义的优越性
",极大的促进了我国社会生产力的发展,"进一步改变了世界格局，增强了社会主义力量，对维护世界和平产生了积极影响
",,,ACD
265,对手工业的改造，党和政府采取的三步方针包括（）,手工业供销小组,手工业高级社,手工业 供销合作社,"手工业生产合作社
",,,ACD
266,党的七届二中全会提出的“两个转变”思想包括（）,"稳步地由农业国转变为工业国

","由新民主主义国家转变为社会主义国家
",由封建社会转变为社会主义社会,"由落后的农业国转变为先进的工业国
",,,AB
267,实现社会主义工业化，是国家独立和富强的（）,必然要求,前提基础,必然条件,必然遵循,,,AC
268,"我国之所以能够采取赎买的方式对资本主义工商业进行和平改造，其原因包括（）
","采取从低级向高级过渡的形式
","民族资产阶级的两面性
","中国共产党与民族资产阶级长期保持着统一战线的关系
",我国已经有了工人阶级为领导、工农联盟为基础的人民民主专政的国家政权,,,BCD
269,高级形式的国家资本主义是公私合营，包括（）,"个别企业的公私合营
","私人企业国家入股
",全行业的公私合营,"国家对私营企业的统购统销
",,,AC
270,"我国由新民主主义社会逐步过渡到社会主义社会，要求上需要很长的历史时期，是由于（）
","我国的经济、文化落后，要求一个相当长的使其来创造为保证社会主义完全胜利所必要的经济和文化上的前提
",党对理论的把握需要一个很长的历史时期,"社会主义初级阶段具有帝国主义复辟的风险
","我国有极其广大的个体的农业和手工业在国民经济中占很大一部分的资本主义工商业，要求一个相当长的历史时期来改造它们
",,,AD
